accession,title,organism,technology,geo_study_type,gpl_accessions,sample_count,sample_count_confidence,score,score_reason,sle_relevance,tissue,case_control_hint,treatment_hint,clinical_info_hint,source_journals,source_journal_impact_factor,source_journal_impact_factor_year,gse_reuse_total_count,publication_date,last_update_date,url,search_date,notes
GSE288272,Endogenous retroviruses promote aberrant T cell differentiation in systemic lupus erythematosus via the RIG-I pathway [naïve],Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,SLE=8; control=0; total=8,medium,60,human; SLE samples clear; SLE/control counts shown; tissue/source clear,matched Systemic Lupus Erythematosus,PBMC; T cell,yes,yes,no,EBioMedicine,11.2,2025,0,2025/11/18,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288272,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE297006,Endogenous retroviruses promote aberrant T cell differentiation in systemic lupus erythematosus via the RIG-I pathway [SLE],Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,SLE=10; control=0; total=10,medium,60,human; SLE samples clear; SLE/control counts shown; tissue/source clear,matched Systemic Lupus Erythematosus,PBMC; T cell,yes,yes,no,EBioMedicine,11.2,2025,0,2025/11/18,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE297006,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE277400,Therapeutic JAK1 inhibition reverses lupus nephritis in a mouse model and demonstrates transcriptional changes consistent with human disease,Mus musculus,expression array,Expression profiling by array,GPL16570,SLE=0; control=0; other/unclear=48; total=48,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Lupus Nephritis,kidney; urine; T cell,yes,yes,yes,ACR open rheumatology,2.9,2025,0,2025/09/29,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE277400,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE288976,Differences between human male and female neutrophils with respect to which RNAs are present in polysomes,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL18573,SLE=0; control=0; other/unclear=34; total=34,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed; mixed disease cohort unclear,matched Systemic Lupus Erythematosus,blood; neutrophil,yes,yes,yes,bioRxiv : the preprint server for biology,,,1,2025/05/08,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288976,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE290137,Epidermal IFN-κ drives cutaneous lupus and systemic immune activation,Mus musculus,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL34290,SLE=0; control=0; other/unclear=21; total=21,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,kidney; T cell,yes,yes,yes,"Arthritis & rheumatology (Hoboken, N.J.)",10.9,2024,0,2025/08/11,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290137,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE290531,Mesenchymal Stem Cells relieved Systemic Lupus Erythematosus via CCL2 dependent macrophage polarization,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,SLE=0; control=0; other/unclear=4; total=4,low,0,human; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,PBMC; monocyte,no,yes,yes,,,,0,2026/06/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290531,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE299540,Autoimmunity-associated DIORA1 binds the MRCK family of serine/threonine kinases and controls cell motility,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL34284,SLE=0; control=0; other/unclear=24; total=24,low,0,human; total samples >=20; SLE/control groups unclear; no SLE samples parsed; mixed disease cohort unclear,matched Systemic Lupus Erythematosus,,yes,yes,no,Proceedings of the National Academy of Sciences of the United States of America,9.5,2025,0,2025/09/08,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE299540,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE299922,A recombinant TACI-Fc fusion protein targets IgA plasma cells in a mouse model of systemic lupus erythematosus,Mus musculus,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL34290,SLE=0; control=0; other/unclear=58; total=58,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,kidney; urine,yes,yes,yes,,,,0,2026/05/14,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE299922,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE302297,ANGPTL3 in podocytes contributes to pathogenesis of lupus nephritis by activating MSR1 in macrophage,Mus musculus,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24247,SLE=0; control=0; other/unclear=12; total=12,low,0,human; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,kidney,yes,yes,yes,"Kidney diseases (Basel, Switzerland)",,,0,2026/04/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302297,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE302559,Transcriptomic points of departure for 6PPD-Quinone derived from human Caco-2 and HepG2 cells,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,SLE=0; control=0; other/unclear=72; total=72,low,0,human; total samples >=20; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,T cell,yes,yes,no,Toxicology in vitro : an international journal published in association with BIBRA,,,0,2025/08/15,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302559,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE302798,The pro-inflammatory cytokines IFN-α and TNF-α inhibit extravillous trophoblast invasion,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL34284,SLE=0; control=0; other/unclear=9; total=9,low,0,human; clinical metadata mentioned; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,,no,yes,yes,,,,0,2026/05/08,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302798,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE306223,Effects of Acute and Chronic Type I Interferon Stimulation on Human Cardiomyocytes,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL34281,SLE=0; control=0; other/unclear=12; total=12,low,0,human; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,kidney,yes,yes,yes,,,,0,2025/08/29,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE306223,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE306682,Transcription factor Etv3 controls the tolerogenic function of dendritic cells (RNA-seq of Etv3 KO GM-DCs),Mus musculus,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24247,SLE=0; control=0; other/unclear=5; total=5,low,0,human; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,T cell,yes,yes,no,,,,0,2026/01/13,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE306682,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE310054,A Neutrophil–Mesangial Cell Axis Promotes Glomerular Injury in Lupus Nephritis,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL34284,SLE=0; control=0; other/unclear=20; total=20,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Lupus Nephritis,kidney; neutrophil,yes,yes,yes,Annals of the rheumatic diseases,24.0,2025,0,2026/03/10,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE310054,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE311014,Cytokine-driven glycosphingolipid metabolism modulates endoplasmic reticulum calcium homeostasis in primary human renal mesangial cells,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,SLE=0; control=0; other/unclear=27; total=27,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Lupus Nephritis,kidney,yes,no,yes,Frontiers in immunology,7.0,2025,0,2025/11/25,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE311014,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE315626,Blood-brain barrier disrupting stimuli induce production of extracellular vesicles with distinct protein cargoes and functionality,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,SLE=0; control=0; other/unclear=30; total=30,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,blood,yes,yes,yes,,,,0,2026/01/17,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE315626,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE326619,JMJD1C-mediated epigenetic control of autoimmunity and HIT antibody production,Mus musculus,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL21626,SLE=0; control=0; other/unclear=16; total=16,low,0,human; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,blood; B cell,yes,yes,no,,,,0,2026/04/14,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE326619,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE327681,JMJD1C-mediated epigenetic control of autoimmunity and HIT antibody production [RNA-seq],Mus musculus,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL21626,SLE=0; control=0; other/unclear=12; total=12,low,0,human; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,blood; B cell,yes,yes,no,,,,0,2026/04/14,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE327681,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
