accession,decision,reason,title,organism,geo_study_type
GSE88887,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Gene expression and pharmacodynamic-induced changes in 1760 SLE Patients from two phase III trials of B cell activating factor blockade with tabalumab,Homo sapiens,Expression profiling by array
GSE92387,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Gene expresison studies of lupus and healthy B cell subsets through RNA sequencing,Homo sapiens,Expression profiling by high throughput sequencing
GSE92472,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Expression of long non-coding RNAs in autoimmunity and linkage to enhancer function and autoimmune disease risk genetic variants,Homo sapiens,Expression profiling by high throughput sequencing
GSE94815,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,The CD4+ CD52 low T Cells Contributes to the Development of Systemic Lupus Erythematosus through the CCR8/TARC Pathways,Homo sapiens,Expression profiling by array
GSE99325,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Transcriptome-based network analysis reveals renal cell type-specific dysregulation of hypoxia-associated transcripts [Tub-FE],Homo sapiens,Expression profiling by array
GSE99339,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Transcriptome-based network analysis reveals renal cell type-specific dysregulation of hypoxia-associated transcripts [glomeruli],Homo sapiens,Expression profiling by array
GSE99340,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Transcriptome-based network analysis reveals renal cell type-specific dysregulation of hypoxia-associated transcripts,Homo sapiens,Expression profiling by array
GSE99967,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Identification of a neutrophil-related gene expression signature that distinguishes between adult patients with and without nephritis in active systemic lupus erythematosus,Homo sapiens,Expression profiling by array
GSE103760,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Expression data ex vivo CD4 T cells systemic lupus erythematosus patients,Homo sapiens,Expression profiling by array
GSE104948,excluded,未确认 SLE/狼疮性肾炎疾病语境,Glomerular Transcriptome from European Renal cDNA Bank subjects and living donors,Homo sapiens,Expression profiling by array
GSE104954,excluded,未确认 SLE/狼疮性肾炎疾病语境,Tubulointerstitial transcriptome from ERCB subjects with chronic kidney disease and living donor biopsies.,Homo sapiens,Expression profiling by array
GSE107705,excluded,非人类数据集,iRhom2 Promotes Lupus Nephritis through ADAM17-Dependent TNF-α and EGFR Signaling,Mus musculus,Expression profiling by high throughput sequencing
GSE108497,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Blood immunomonitoring uncovers pregnancy-induced immune programs and their dysregulation in lupus pregnancy destined for complications,Homo sapiens,Expression profiling by array
GSE110169,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,BMS_TRD_SLE_RA_WB_study,Homo sapiens,Expression profiling by array
GSE110174,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,BMS_IM101042_Baseline_WB_study,Homo sapiens,Expression profiling by array
GSE110685,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Low density granulocytes and their gene signature associate with vascular inflammation and coronary atheroclerosis in systemic lupus erythematosus patients,Homo sapiens,Expression profiling by high throughput sequencing
GSE112087,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Systemic Lupus Erythematosus patient blood with controls,Homo sapiens,Expression profiling by high throughput sequencing
GSE112943,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Genome-wide analysis of gene expression of cutaneous lupus skin samples and lupus nephritis kidney samples,Homo sapiens,Expression profiling by array
GSE113342,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Nanostring Immunology V2 panel comparing expression in kidney tissue from lupus nephritis patients at diagnosis (A) and at flare (B),Homo sapiens,Expression profiling by array
GSE116006,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Discovering in vivo cytokine eQTL interactions from a lupus clinical trial,Homo sapiens,Expression profiling by high throughput sequencing
GSE118254,included,明确为 SLE B 细胞 bulk RNA-seq；SLE 后使用 subjects 而非 patient,Transcriptome profiles of B cell subsets from healthy and SLE subjects,Homo sapiens,Expression profiling by high throughput sequencing
GSE119446,excluded,技术类型不是 bulk RNA-seq 或 expression array,Effect of metformin on 24 hour culture of SLE CD4 T cells and Healthy Control CD4 T cells,Homo sapiens,Expression profiling by genome tiling array
GSE120442,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Multiplexed enrichment and genomic profiling of peripheral blood cells reveal subset-specific immune signatures,Homo sapiens,Expression profiling by high throughput sequencing
GSE121239,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Longitudinal Stratification of Gene Expression Data Reveals Three SLE Groups of Disease Activity Progression.,Homo sapiens,Expression profiling by array
GSE122459,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,SLE PBMC RNA-seq,Homo sapiens,Expression profiling by high throughput sequencing
GSE127797,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,The Molecular Phenotype of Lupus Nephritis Histological Lesions,Homo sapiens,Expression profiling by array
GSE138458,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Adults with Systemic Lupus Exhibit Distinct Molecular Phenotypes Associated with Clinical Disease Activity,Homo sapiens,Expression profiling by array
GSE139350,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Integrated Transcriptome Profiling Revealed That Elevated Long Non- Coding RNA-AC007278.2 Expression Repressed CCR7 Transcription in Systemic Lupus Erythematosus,Homo sapiens,Expression profiling by high throughput sequencing
GSE139358,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,"Transcriptomic, epigenetic and functional analyses implicate neutrophil diversity in the pathogenesis of systemic lupus erythematosus [RNA-seq]",Homo sapiens,Expression profiling by high throughput sequencing
GSE144390,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Expression profiling of PBMCs from patients with systemic lupus erythematosus,Homo sapiens,Expression profiling by array
GSE148601,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,mRNA expression analysis of several cell subset from peripheral blood of SLE patient and Healthy Control,Homo sapiens,Expression profiling by array
GSE148810,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Gene expression of skin biopsie samples from juvenile myositis (JM) and childhood-onset lupus (cSLE).,Homo sapiens,Expression profiling by array
GSE149050,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Multi-cell type gene co-expression network analysis reveals coordinated interferon response and cross cell-type correlations in systemic lupus erythematosus,Homo sapiens,Expression profiling by high throughput sequencing
GSE154851,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Investigation Of Genes Associated With Atherosclerosis In Patients With Systemic Lupus Erythematosus,Homo sapiens,Expression profiling by array
GSE162828,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Novel LncRNA and mRNA expression profiles of peripheral blood mononuclear cells in patients with systemic lupus erythematosus and healthy controls,Homo sapiens,Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing
GSE163121,excluded,包含当前范围排除的数据类型（单细胞、甲基化等）,Single-cell RNA sequencing of B cells from healthy donors and SLE patients,Homo sapiens,Expression profiling by high throughput sequencing
GSE164457,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Ethnicity-specific transcriptomic variation in immune cells and correlation with disease activity in systemic lupus erythematosus,Homo sapiens,Expression profiling by high throughput sequencing
GSE181500,excluded,技术类型不是 bulk RNA-seq 或 expression array,Investigation of gene expression profiles in CD4+ T cells from SLE patients and normal controls,Homo sapiens,Non-coding RNA profiling by array
GSE185047,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,IFN-α kinoid in systemic lupus erythematosus: Affymetrix Data,Homo sapiens,Expression profiling by array
GSE211700,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,High-throughput sequencing in SLE patients PBMC,Homo sapiens,Expression profiling by high throughput sequencing
GSE224705,included,本 GSE 为表达芯片队列；单细胞数据仅用于外部辅助分析,Defining molecular and cellular landscape behind non-response to Lupus Nephritis drugs,Homo sapiens,Expression profiling by array
GSE228066,included,符合人类 SLE bulk RNA-seq/expression array 纳入规则,Transcriptomics reveals novel molecular features of SLE severity,Homo sapiens,Expression profiling by high throughput sequencing
GSE239576,already_existing,总表已包含该登录号,Comparison of Renal Transcriptome Profiles in Patients with Active Lupus Nephritis Reveals Possible New Mechanisms of Disease Progression,Homo sapiens,Expression profiling by high throughput sequencing
GSE249619,included,标题标注 RNA-seq，研究设计明确为 bulk 转录组,Divergent Epigenetic and Transcriptomic Remodelling during Monocyte Subset Differentiation in Systemic Lupus Erythematosus [RNA-seq],Homo sapiens,Expression profiling by high throughput sequencing
GSE250023,included,研究设计明确为全血 bulk mRNA-seq；摘要另述单细胞辅助分析,Impaired innate and adaptive immune responses to BNT162b2 SARS-CoV-2 vaccination in systemic lupus erythematosus,Homo sapiens,Expression profiling by high throughput sequencing
