accession,title,organism,technology,geo_study_type,gpl_accessions,sample_count,sample_count_confidence,score,score_reason,sle_relevance,tissue,case_control_hint,treatment_hint,clinical_info_hint,source_journals,source_journal_impact_factor,source_journal_impact_factor_year,gse_reuse_total_count,publication_date,last_update_date,url,search_date,manual_review,notes
GSE279728,The X-linked chromatin modifier SMC1A is deregulated in lupus female monocytes and promotes autoimmunity [RNA-Seq],Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL18573; GPL20301; GPL24676,SLE=34; control=0; other/unclear=27; total=61,medium,75,human; SLE samples clear; SLE/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched Systemic Lupus Erythematosus,blood; monocyte,yes,yes,yes,Nature communications,18.1,2025,0,2025/09/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279728,2026-06-25,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE318067,"Analysis of peripheral blood transcript and protein expression across adult systemic lupus erythematosus (SLE) and adult dermatomyositis (DM) patients, each compared to respective healthy matched control subjects.",Homo sapiens,expression array,Expression profiling by array,GPL570,SLE=80; control=0; total=80,medium,75,human; SLE samples clear; SLE/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched Systemic Lupus Erythematosus,blood,yes,yes,yes,ACR open rheumatology,2.9,2025,0,2026/02/06,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE318067,2026-06-25,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE318618,Multi-omic analysis reveals molecular subtypes with distinct immunological phenotypes in SLE,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL36272,SLE=80; control=0; total=80,medium,75,human; SLE samples clear; SLE/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched Systemic Lupus Erythematosus,blood,yes,no,yes,Frontiers in immunology,7.0,2025,0,2026/05/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE318618,2026-06-25,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE319130,Multi-omic analysis reveals molecular subtypes with distinct immunological phenotypes in SLE [RNA-Seq],Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,SLE=80; control=0; total=80,medium,75,human; SLE samples clear; SLE/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched Systemic Lupus Erythematosus,blood,yes,no,yes,Frontiers in immunology,7.0,2025,0,2026/05/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE319130,2026-06-25,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE334206,STK25 m6A modification regulates CD4+ T cell glycolysis mediated immune imbalance in systemic lupus erythematosus,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,SLE=10; control=0; other/unclear=10; total=20,medium,75,human; SLE samples clear; SLE/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched Systemic Lupus Erythematosus,blood; PBMC; T cell,yes,yes,yes,,,,0,2026/06/04,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE334206,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE61635,Gene expression in RNP autoantibody+ systemic lupus erythematosus (SLE) patient blood,Homo sapiens,expression array,Expression profiling by array,GPL570,SLE=99; control=0; other/unclear=30; total=129,medium,75,human; SLE samples clear; SLE/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched Systemic Lupus Erythematosus,blood; B cell,yes,no,yes,,,,71,2015/01/01,Mar 25 2019,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE61635,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE65391,Longitudinal transcriptional pediatric SLE study with clinical parameters,Homo sapiens,expression array,Expression profiling by array,GPL10558,SLE=924; control=0; other/unclear=72; total=996,medium,75,human; SLE samples clear; SLE/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched SLE in disease context,blood,yes,no,yes,Cell,45.1,2025,71,2016/03/31,Mar 16 2023,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65391,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE69438,Tissue Transcriptome Driven Identification of Epidermal Growth Factor as a Chronic Kidney Disease Biomarker,Homo sapiens,expression array,Expression profiling by array,GPL11670,SLE=16; control=0; other/unclear=26; total=42,medium,75,human; SLE samples clear; SLE/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched Lupus Nephritis,kidney,no,no,yes,Science translational medicine; JCI insight,15.6,2025,18,2015/12/14,Apr 02 2025,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE69438,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE72747,"Global gene expression profiles in whole blood total RNA from patients with lupus nephritis, before and after initiation of therapy",Homo sapiens,expression array,Expression profiling by array,GPL570,SLE=30; control=0; total=30,medium,75,human; SLE samples clear; SLE/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched Systemic Lupus Erythematosus,blood; kidney,no,yes,yes,"Rheumatology (Oxford, England)",4.4,2024-2025,6,2016/02/29,Mar 25 2019,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72747,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE72754,Down-regulation of Interferon signature in systemic lupus erythematosus patients by active immunization with Interferon alpha-Kinoid extended follow-up,Homo sapiens,expression array,Expression profiling by array,GPL570,SLE=42; control=0; other/unclear=10; total=52,medium,75,human; SLE samples clear; SLE/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched Systemic Lupus Erythematosus,blood; B cell,yes,yes,yes,"Rheumatology (Oxford, England)",4.4,2024-2025,5,2016/02/29,Mar 25 2019,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72754,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE92472,Expression of long non-coding RNAs in autoimmunity and linkage to enhancer function and autoimmune disease risk genetic variants,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL21290,SLE=1; control=1; other/unclear=13; total=15,high,75,human; SLE samples clear; controls clear; SLE/control counts shown; tissue/source clear,matched Systemic Lupus Erythematosus,blood,yes,no,no,Journal of autoimmunity,6.8,2025,2,2017/04/11,Aug 28 2019,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE92472,2026-07-11,NULL,auto-collected from GEO metadata; imported from sle_geo_gse_accessions.csv after GEO verification
GSE99325,Transcriptome-based network analysis reveals renal cell type-specific dysregulation of hypoxia-associated transcripts [Tub-FE],Homo sapiens,expression array,Expression profiling by array,GPL19109; GPL19184,SLE=30; control=0; other/unclear=145; total=175,medium,75,human; SLE samples clear; SLE/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched Systemic Lupus Erythematosus,kidney; T cell,no,yes,yes,Scientific reports,4.9,2025,26,2017/08/12,Jul 25 2021,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE99325,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE99340,Transcriptome-based network analysis reveals renal cell type-specific dysregulation of hypoxia-associated transcripts,Homo sapiens,expression array,Expression profiling by array,GPL19109; GPL19184,SLE=30; control=0; other/unclear=383; total=413,medium,75,human; SLE samples clear; SLE/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched Systemic Lupus Erythematosus,kidney; T cell,no,no,yes,Scientific reports,4.9,2025,41,2017/08/12,Jul 25 2021,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE99340,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE108497,Blood immunomonitoring uncovers pregnancy-induced immune programs and their dysregulation in lupus pregnancy destined for complications,Homo sapiens,expression array,Expression profiling by array,GPL10558,SLE=325; control=0; other/unclear=187; total=512,medium,70,human; SLE samples clear; SLE/control counts shown; total samples >=20; tissue/source clear,matched Systemic Lupus Erythematosus,blood; T cell; neutrophil,yes,no,no,,,,13,2019/03/22,Mar 16 2023,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE108497,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE110685,Low density granulocytes and their gene signature associate with vascular inflammation and coronary atheroclerosis in systemic lupus erythematosus patients,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791; GPL21290,SLE=9; control=0; other/unclear=44; total=53,medium,70,human; SLE samples clear; SLE/control counts shown; total samples >=20; tissue/source clear,matched Systemic Lupus Erythematosus,blood,yes,no,no,JCI insight,6.8,2025,5,2018/05/09,Mar 27 2019,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE110685,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE11908,Construction of a modular analysis framework for blood Genomics Studies,Homo sapiens,expression array,Expression profiling by array,GPL96; GPL97,SLE=6; control=0; other/unclear=465; total=471,medium,70,human; SLE samples clear; SLE/control counts shown; total samples >=20; tissue/source clear,matched Systemic Lupus Erythematosus,blood; PBMC,no,yes,no,Immunity,30.6,2025,5,2008/08/11,Aug 10 2018,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE11908,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE17755,Human peripheral blood cells: autoimmune diseases vs. healthy individuals,Homo sapiens,expression array,Expression profiling by array,GPL1291,SLE=22; control=0; other/unclear=222; total=244,medium,70,human; SLE samples clear; SLE/control counts shown; total samples >=20; tissue/source clear,matched Systemic Lupus Erythematosus,blood,yes,no,no,Arthritis research & therapy,5.4,2025,50,2010/08/21,Jul 27 2012,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE17755,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE20864,Human peripheral blood cells: systemic lupus erythematosus vs healthy individual.,Homo sapiens,expression array,Expression profiling by array,GPL1291,SLE=21; control=0; other/unclear=45; total=66,medium,70,human; SLE samples clear; SLE/control counts shown; total samples >=20; tissue/source clear,matched Systemic Lupus Erythematosus,blood,yes,no,no,Arthritis research & therapy,5.4,2025,16,2010/10/01,Mar 22 2012,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE20864,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE211700,High-throughput sequencing in SLE patients PBMC,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL20795,SLE=10; control=0; other/unclear=20; total=30,medium,70,human; SLE samples clear; SLE/control counts shown; total samples >=20; tissue/source clear,matched SLE in disease context,PBMC,yes,no,no,Scientific reports; Frontiers in immunology; Arthritis research & therapy,7.0,2025,6,2023/01/13,Mar 20 2025,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE211700,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE39088,Down-regulation of Interferon signature in systemic lupus erythematosus patients by active immunization with Interferon alpha-Kinoid,Homo sapiens,expression array,Expression profiling by array,GPL570,SLE=78; control=0; other/unclear=64; total=142,medium,70,human; SLE samples clear; SLE/control counts shown; total samples >=20; tissue/source clear,matched Systemic Lupus Erythematosus,blood,yes,yes,no,"Arthritis and rheumatism; Rheumatology (Oxford, England)",6,2025,28,2012/11/01,Mar 25 2019,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE39088,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE12374,Interactions of cytokines in peripheral blood cells from Systemic Lupus Erythematosus,Homo sapiens,expression array,Expression profiling by array,GPL1291,SLE=11; control=0; other/unclear=6; total=17,medium,65,human; SLE samples clear; SLE/control counts shown; clinical metadata mentioned; tissue/source clear,matched Systemic Lupus Erythematosus,blood; PBMC,yes,yes,yes,Arthritis research & therapy,5.4,2025,3,2009/06/01,Mar 20 2012,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE12374,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE240218,Serological type I interferon promotes AIM2 inflammasome dysregulation in lupus patients,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,SLE=12; control=0; total=12,medium,65,human; SLE samples clear; SLE/control counts shown; clinical metadata mentioned; tissue/source clear,matched SLE in disease context,blood; monocyte,yes,yes,yes,"Rheumatology (Oxford, England)",4.4,2024-2025,0,2026/02/24,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240218,2026-06-25,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE296560,"Lupus nephritis serum induces changes in gene expression in human glomerular endothelial cells, which is modulated by L-sepiapterin: Implications for redox-mediated endothelial dysfunction",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,SLE=19; control=0; total=19,medium,65,human; SLE samples clear; SLE/control counts shown; clinical metadata mentioned; tissue/source clear,matched Lupus Nephritis,kidney,yes,yes,yes,Lupus science & medicine,4.2,2025,0,2025/06/18,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE296560,2026-06-25,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE288271,Endogenous retroviruses promote aberrant T cell differentiation in systemic lupus erythematosus via the RIG-I pathway [whole transcriptomics],Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,SLE=10; control=0; total=10,medium,60,human; SLE samples clear; SLE/control counts shown; tissue/source clear,matched Systemic Lupus Erythematosus,PBMC; T cell,yes,yes,no,EBioMedicine,11.2,2025,0,2025/11/18,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288271,2026-06-25,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE288272,Endogenous retroviruses promote aberrant T cell differentiation in systemic lupus erythematosus via the RIG-I pathway [naïve],Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,SLE=8; control=0; total=8,medium,60,human; SLE samples clear; SLE/control counts shown; tissue/source clear,matched Systemic Lupus Erythematosus,PBMC; T cell,yes,yes,no,EBioMedicine,11.2,2025,0,2025/11/18,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288272,2026-06-25,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE297006,Endogenous retroviruses promote aberrant T cell differentiation in systemic lupus erythematosus via the RIG-I pathway [SLE],Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,SLE=10; control=0; total=10,medium,60,human; SLE samples clear; SLE/control counts shown; tissue/source clear,matched Systemic Lupus Erythematosus,PBMC; T cell,yes,yes,no,EBioMedicine,11.2,2025,0,2025/11/18,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE297006,2026-06-25,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE80183,RNA-seq study reveals unique transcriptome expression in systemic lupus erythematosus patients with distinct autoantibody profile,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL11154,SLE=12; control=0; other/unclear=4; total=16,medium,60,human; SLE samples clear; SLE/control counts shown; clinical metadata mentioned,matched Systemic Lupus Erythematosus,,yes,yes,yes,PloS one,2.8,2025,5,2016/11/17,May 15 2019,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE80183,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE29536,Whole Blood Transcriptional Modules generated on Illumina Hu-6 V2 Beadchips,Homo sapiens,expression array,Expression profiling by array,GPL6102,SLE=0; control=9; other/unclear=401; total=410,low,45,human; controls clear; SLE/control counts shown; total samples >=20; tissue/source clear; no SLE samples parsed,"matched Lupus Erythematosus, Systemic",blood; B cell,yes,no,no,PloS one; Immunity,30.6,2025,14,2014/03/11,Mar 11 2014,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29536,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE10325,Expression data from human peripheral blood subsets,Homo sapiens,expression array,Expression profiling by array,GPL96,SLE=0; control=0; other/unclear=67; total=67,low,0,human; total samples >=20; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,blood; B cell; T cell,yes,no,no,Immunity; PloS one,30.6,2025,51,2008/03/01,Aug 10 2018,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE10325,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE103760,Expression data ex vivo CD4 T cells systemic lupus erythematosus patients,Homo sapiens,expression array,Expression profiling by array,GPL17585,SLE=0; control=0; other/unclear=16; total=16,low,0,human; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,blood; T cell,yes,no,yes,,,,4,2018/03/01,Jul 25 2021,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE103760,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE110169,BMS_TRD_SLE_RA_WB_study,Homo sapiens,expression array,Expression profiling by array,GPL13667,SLE=0; control=0; other/unclear=243; total=243,low,0,human; total samples >=20; SLE/control groups unclear; no SLE samples parsed,matched SLE in disease context,,yes,no,no,"Arthritis & rheumatology (Hoboken, N.J.)",10.9,2024,22,2018/02/06,Aug 08 2019,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE110169,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE110174,BMS_IM101042_Baseline_WB_study,Homo sapiens,expression array,Expression profiling by array,GPL13158,SLE=0; control=0; other/unclear=154; total=154,low,0,human; total samples >=20; clinical metadata mentioned; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,,yes,yes,yes,"Arthritis & rheumatology (Hoboken, N.J.)",10.9,2024,9,2018/02/07,Aug 08 2019,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE110174,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE112087,Systemic Lupus Erythematosus patient blood with controls,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,SLE=0; control=0; other/unclear=120; total=120,low,0,human; total samples >=20; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,blood,yes,no,no,Clinical & translational immunology,3.4,2025,28,2018/03/21,Jun 23 2023,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE112087,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE113342,Nanostring Immunology V2 panel comparing expression in kidney tissue from lupus nephritis patients at diagnosis (A) and at flare (B),Homo sapiens,expression array,Expression profiling by array,GPL21847,SLE=0; control=0; other/unclear=72; total=72,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Lupus Nephritis,kidney,yes,no,yes,"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",6,2025,24,2018/04/19,Jul 29 2018,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE113342,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE116006,Discovering in vivo cytokine eQTL interactions from a lupus clinical trial,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL11154,SLE=0; control=0; other/unclear=468; total=468,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,blood,no,yes,yes,Genome biology,9.2,2025,1,2018/09/24,Mar 27 2019,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE116006,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
