accession,title,summary,organism,technology,geo_study_type,gpl_accessions,gpl_titles,sample_count,sample_count_confidence,score,score_reason,ra_relevance,tissue,case_control_hint,treatment_hint,clinical_info_hint,processed_data_hint,publication_date,last_update_date,url,search_date,notes
GSE121894,Gene expression profile of endothelial cells derived from circulating progenitors issued from patients with rheumatoid arthritis,"Synovial neoangiogenesis is an early and crucial event to promote the development of the hyperplasic proliferative pathologic synovium in rheumatoid arthritis (RA). Endothelial cells (ECs) are critical for the formation of new blood vessels since they highly contribute to angiogenesis and vasculogenesis. To better characterize these cells, our group has studied the gene expression profiles of ECs issued from 18 RA patients compared to 11 healthy controls.",Homo sapiens,expression array,Expression profiling by array,GPL25734,,RA=36; control=22; total=58,high,95,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; processed data likely available; tissue/source clear,matched rheumatoid arthritis,synovium; blood,yes,yes,no,yes,2020/04/15,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE121894,2026-06-12,auto-collected from GEO metadata
GSE141529,Peripheral Blood Gene Expression Signatures in Patients with Rheumatoid Arthritis,Observational study in cohort of patients with Rheumatoid Arthritis.,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,,RA=32; control=8; total=40,high,95,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; processed data likely available; tissue/source clear,matched rheumatoid arthritis,blood,yes,yes,no,yes,2022/12/04,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE141529,2026-06-12,auto-collected from GEO metadata
GSE157047,Interplay of NLRC4/NLRP3 inflammasomes and Fc-ˠ-Receptors on CD1c+ DC Associates with Pathogenic IFNˠ+IL17+ T cells and RA Severity,"Deregulated myeloid cells infiltrating to the joints likely contribute to rheumatoid arthritis (RA) pathogenesis through multiple mechanisms, including the secretion of proinflammatory cytokines and the induction of pathogenic adaptive Th17 cells, that mediate joint damage. However, the individual contribution of specific myeloid subsets such as CD1c+ and CD141+ conventional dendritic cells (cDC) to RA development and progression has been poorly studied and remains unclear. In particular, the potential molecular mechanisms specifically affecting CD1c+ cDCs in RA patients and their functional implications have not been characterized. Using RNA-seq, multiparametric flow cytometry and in vitro functional assays, we compared in parallel transcriptional, phenotypical and functional characteristics of monocytes, CD1c+ and CD141+ cDCs from the blood and synovial fluid of RA patients.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791; GPL20301,,RA=21; control=12; other/unclear=9; total=42,high,95,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; processed data likely available; tissue/source clear,matched rheumatoid arthritis,blood; monocyte; T cell,yes,no,no,yes,2022/12/21,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE157047,2026-06-12,auto-collected from GEO metadata
GSE216678,Reduced CD8 T cell exhaustion in DR4 risk subjects is selectively augmented with therapy [whole blood],"Exhausted CD8 T cells (TEX) are associated with worse outcome in cancer yet better outcome in autoimmunity. However, factors contributing to reduced TEX in autoimmunity are poorly understood. We use two genetically related autoimmune diseases, type 1 diabetes (T1D) and rheumatoid arthritis (RA), to explore these factors. We identify a common human peripheral blood TIGIT+KLRG1+ CD8 TEX population: TIGIT+KLRG1+ CD8 TEX of healthy controls (HC), T1D, and rheumatoid arthritis (RA) subjects share EOMES signature genes, are increased with age and in chronic viral-specific cells and are hyporesponsive in vitro. Consistent with a genetic determinant, TIGIT+KLRG1+ TEX are stable within but vary between individuals. In HC and RA subjects (n>100/cohort), lower levels of EOMES transcriptional modules and TIGIT+KLRG1+ TEX were associated with RA HLA risk alleles (DR0401, 0404, 0405, 0408, 1001) even when considering disease status and CMV seropositivity. TIGIT+KLRG1+ TEX significantly increased in RA HLA risk but not non-risk subjects treated with abatacept (CTLA4Ig); no change in TIGIT+KLRG1+ TEX was observed with adalimumab (anti-TNF) therapy. The DR4 association and selective modulation with abatacept suggests that therapeutic modulation of TEX may be more effective in DR4 subjects and TEX may be indirectly influenced by cellular interactions that are blocked by abatacept.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,,RA=97; control=114; total=211,high,95,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; processed data likely available; tissue/source clear,matched rheumatoid arthritis,blood; T cell,yes,yes,no,yes,2023/06/30,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE216678,2026-06-12,auto-collected from GEO metadata
GSE274598,RNAseq analysis of human neutrophils from people with rheumatoid arthritis,"We report gene expression profiles of blood neutrophils from (1) people newly-diagnosed with rheumatoid arthritis (early RA) before commencement of disease-modifying anti-rheumatic drug therapy, (2) DMARD-refractory RA (severe RA) before commencement of anti-TNF therapy and (3) healthy controls.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL11154,,RA=35; control=6; total=41,high,95,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; processed data likely available; tissue/source clear,matched rheumatoid arthritis,blood,yes,yes,no,yes,2025/05/14,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274598,2026-06-12,auto-collected from GEO metadata
GSE274996,RNAseq analysis of human neutrophils from people with DMARD-refractory rheumatoid arthritis,We report gene expression profiles of blood neutrophils from (1) people with DMARD-refractory RA before commencement of anti-TNF therapy and (2) healthy controls.,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL28038,,RA=43; control=5; total=48,high,95,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; processed data likely available; tissue/source clear,matched rheumatoid arthritis,blood,yes,yes,no,yes,2025/05/14,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274996,2026-06-12,auto-collected from GEO metadata
GSE283881,Differential response of tissue engineered skeletal muscle from rheumatoid arthritis patients and healthy controls,"Rheumatoid arthritis (RA) is a chronic inflammatory disease, causing pain, increased mortality, and profound disability rates. RA affects articular joints and multiple organs, including skeletal muscle. Loss of muscle mass is associated with increased disability in RA. We developed an in vitro tissue-engineered human skeletal muscle model (myobundle) to better understand the disease mechanisms driving muscle loss in RA. Myobundles were generated using primary skeletal muscle cells from the vastus lateralis muscle of 5 RA patients and 4 age-matched healthy controls. Compared to controls, RA myobundles were more sensitive to IFN-γ, leading to reduced contractile force. Gene sets enriched in IFN-γ-treated RA myobundles, but not IFN-γ-treated controls, were involved in the response to hypoxia and the unfolded protein response. We identified PIM1 as a selectively upregulated gene and verified altered protein expression by Western blotting. Tofacitinib restored contractile force and myosin heavy chain protein levels in RA myobundles with IFN-γ-induced dysfunction. Thus, human myobundles can model inflammation of muscle in RA and other diseases.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,,RA=12; control=12; total=24,high,95,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; processed data likely available; clinical metadata mentioned,matched rheumatoid arthritis,,yes,yes,yes,yes,2025/03/19,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283881,2026-06-12,auto-collected from GEO metadata
GSE292338,"RNAseq analysis of human neutrophils from healthy controls, people with frailty and people with rheumatoid arthritis","We report gene expression profiles of blood neutrophils from (1) people with frailty (2) healthy older people (>60Y), (3) healthy younger people (18-25Y), (4) people with rheumatoid arthritis.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL28038,,RA=10; control=19; other/unclear=10; total=39,high,95,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; processed data likely available; tissue/source clear,matched rheumatoid arthritis,blood,yes,yes,no,yes,2026/03/09,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292338,2026-06-12,auto-collected from GEO metadata
GSE56649,Expression data from active rheumatoid arthritis patients and healthy control.,Rheumatoid arthritis (RA) is a systemic autoimmune disease and its underlying molecular mechanisms are still poorly understood. Previously a CD4 T-cell microarray study has only focused arthritis patients. We aimed to compare the molecular profiles of active RA versus healthy control in CD4 T cells. We used microarrays to detail the global programme of gene expression in active RA and healthy control.,Homo sapiens,expression array,Expression profiling by array,GPL570,,RA=13; control=9; total=22,high,95,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; processed data likely available; tissue/source clear,matched rheumatoid arthritis,blood; PBMC; T cell,yes,no,no,yes,2017/02/13,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56649,2026-06-12,auto-collected from GEO metadata
GSE71370,Profiling of CD14+ monocytes from paired rheumatoid arthritis (RA)-patient peripheral blood and synovial fluid samples,CD14+ monocytes sorted from the synovial fluid or peripheral blood of rheumatoid arthritis patients were analyzed by full transcriptome microarray analysis. Monocytes from healthy control samples (peripheral blood) were also profiled.,Homo sapiens,expression array,Expression profiling by array,GPL16268,,RA=18; control=8; total=26,high,95,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; processed data likely available; tissue/source clear,matched rheumatoid arthritis,blood; monocyte,yes,no,no,yes,2017/01/30,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71370,2026-06-12,auto-collected from GEO metadata
GSE77298,Synovial biopsies of rheumatoid arthritis and healthy controls,Synovial biopsies were obtained from rheumatoid arthritis (RA) synovium and from subjects without a joint disease to find gene upregulated during RA. The promoters of genes upregulated during RA compared to HC can be used to obtain disease-regulated gene therapy.,Homo sapiens,expression array,Expression profiling by array,GPL570,,RA=16; control=7; total=23,high,95,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; processed data likely available; tissue/source clear,matched rheumatoid arthritis,synovium,yes,yes,no,yes,2016/01/27,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE77298,2026-06-12,auto-collected from GEO metadata
GSE100191,Transcriptional Signature Associated with Early Rheumatoid Arthritis and Healthy Individuals at high risk to develop the disease.,"To identify biomarkers and transcriptomic pathways associated with the development of rheumatoid arhtritis, we performed a transcriptional analysis using a hole genome microarray to demostrate that a specific transcriptional signature is associated with the development of RA, and it exists since the beginning and presence of auto-antibodies against citrulinated proteins.",Homo sapiens,expression array,Expression profiling by array,GPL13497,,RA=7; control=5; other/unclear=7; total=19,high,90,human; RA samples clear; controls clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood,yes,yes,yes,yes,2017/06/20,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE100191,2026-06-12,auto-collected from GEO metadata
GSE101193,Identify the expression of lncRNAs in peripheral blood mononuclear cells from rheumatoid arthritis,"The expression profiles of lncRNAs in peripheral blood mononuclear cells (PBMCs) from rheumatoid arthritis (RA) patients have not been well researched. Therefore, we identified the lncRNA expression profiles in PBMCs from female patients with RA and explored the possible role of the abundantly expressed lncRNAs in RA.",Homo sapiens,expression array,Expression profiling by array,GPL21827,,RA=3; control=3; total=6,high,90,human; RA samples clear; controls clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; PBMC,yes,no,yes,yes,2017/07/12,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE101193,2026-06-12,auto-collected from GEO metadata
GSE128813,The transcriptome analysis of regulatory networks in RA-FLSs,"Rheumatoid arthritis (RA) is a common chronic inflammatory joint disease characterized by persistent synovial hyperplasia and progressive destruction of joint cartilage and bone.Fibroblast-like synoviocytes (FLSs), a prominent component of hyperplastic synovial pannus tissue, are the primary effector cells in RA synovial hyperplasia and invasion. However, the underlying molecular mechanisms remain unclear. Here, we apply transcriptome to assay the regulatory networks which contribute to the proliferation, migration and invasion of RA-FLSs .",Homo sapiens,expression array,Expression profiling by array,GPL21827,,RA=3; control=3; total=6,high,90,human; RA samples clear; controls clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovial fibroblast,yes,yes,yes,yes,2020/01/08,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE128813,2026-06-12,auto-collected from GEO metadata
GSE141836,The pathogenic role of stem cell-like memory T cells in rheumatoid arthritis,"Objective: Stem cell-like memory T cells (Tscm) are a subset of memory T cells that have the characteristics of stem cells. The role of Tscm cells in rheumatoid arthritis (RA) is unknown. Methods: The transcriptomes of Tscm cells from RA patients were compared with those from HCs. Results: Transcriptome analysis revealed that Tscm cells from RA patients showed patterns distinct from those of HCs. Conclusion: The percentage of transcriptionally distinct and potentially pathogenic Tscm cells are higher in RA patients than in HCs; these cells may be a continuous source of pathogenic T cells, which perpetuate RA.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,,RA=6; control=2; total=8,high,90,human; RA samples clear; controls clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,PBMC; T cell,yes,no,yes,yes,2021/12/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE141836,2026-06-12,auto-collected from GEO metadata
GSE196743,Next Generation Sequencing Analysis of Healthy donors and rhumatoid arthritis patients with or without anti-TNF-treatment,"Introduction: We previously reported a specific defect of rheumatoid arthritis (RA) monocyte polarization to anti-inflammatory M2-like macrophages related to increased miR-155 expression in all RA patients except those receiving adalimumab (ADA). In this longitudinal study, we examined whether different tumor necrosis factor inhibitors were able to restore monocyte polarization to M2-like macrophages and their effect on the transcriptomic signature. Methods: M2-like polarization induced by human serum AB was studied in 7 healthy donors and 20 RA patients included in the ABIRA cohort before and 3 months after starting ADA or etanercept (ETA). The differential gene expression of M2- and M1-related transcripts was studied in macrophage-derived monocytes after differentiation. Results: At baseline, RA monocytes showed a defect of polarization to M2-like macrophages as compared with healthy donor monocytes, which was negatively correlated with disease activity. M2-like polarization from circulating monocytes was restored only with ADA and not ETA treatment. The transcriptomic signature demonstrated downregulation of M2-related transcripts and upregulation of M1-related transcripts in active RA. In patients receiving ADA, the transcriptomic signature of M2- related transcripts was restored. Conclusion: This longitudinal study demonstrates that ADA but not ETA is able to restore the M2-like polarization of monocytes that is defective in RA",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL18573,,RA=9; control=4; total=13,high,90,human; RA samples clear; controls clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; PBMC; macrophage; monocyte,yes,yes,yes,yes,2022/02/16,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE196743,2026-06-12,auto-collected from GEO metadata
GSE284403,Lactylated histone promotes rheumatoid arthritis progression by increasing NFATc2 expression and the production of anti-lactylated histone autoantibodies,"The elevated lactate in the joint microenvironment of patients with rheumatoid arthritis (RA) is crucial for disease progression, although the underlying mechanism remains to be elucidated. In this study, we observed significantly increased global lactylation levels within fibroblast-like synoviocytes (FLS) of RA patients compared to HC (healthy controls), and lactylated proteins were enriched in histones. Furthermore, we found that anti-lactated histone antibodies were detected in almost RA patients and positively correlated with Disease Activity Score 28 (DAS28). Then we identified NFATc2 as a key target gene regulated by histone H3 lysine 9 lactylation (H3K9la) using CUT&Tag combined with RNA-seq. Functional studies revealed that NFATc2 promotes migration of RA-FLSs. Additionally, using server combined immune-deficiency (SCID) and collagen-induced arthritis (CIA) mouse models, we demonstrated that NFATc2 exacerbates RA disease progression through enhanced FLS cartilage invasion function. Collectively, our findings suggest that upregulated target gene NFATc2 by lactate-dependent histone lactylation, can be used as a potential therapeutic target for intervention, anti-lactated histone autoantibodies is promising as a diagnostic marker for RA.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL34284,,RA=3; control=3; total=6,high,90,human; RA samples clear; controls clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovial fibroblast,yes,yes,yes,yes,2024/12/27,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE284403,2026-06-12,auto-collected from GEO metadata
GSE284763,Lactylated histone promotes rheumatoid arthritis progression by increasing NFATc2 expression and the production of anti-lactylated histone autoantibodies [CUT&Tag],"The elevated lactate in the joint microenvironment of patients with rheumatoid arthritis (RA) is crucial for disease progression, although the underlying mechanism remains to be elucidated. In this study, we observed significantly increased global lactylation levels within fibroblast-like synoviocytes (FLS) of RA patients compared to HC (healthy controls), and lactylated proteins were enriched in histones. Furthermore, we found that anti-lactated histone antibodies were detected in almost RA patients and positively correlated with Disease Activity Score 28 (DAS28). Then we identified NFATc2 as a key target gene regulated by histone H3 lysine 9 lactylation (H3K9la) using CUT&Tag combined with RNA-seq. Functional studies revealed that NFATc2 promotes migration of RA-FLSs. Additionally, using server combined immune-deficiency (SCID) and collagen-induced arthritis (CIA) mouse models, we demonstrated that NFATc2 exacerbates RA disease progression through enhanced FLS cartilage invasion function. Collectively, our findings suggest that upregulated target gene NFATc2 by lactate-dependent histone lactylation, can be used as a potential therapeutic target for intervention, anti-lactated histone autoantibodies is promising as a diagnostic marker for RA.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,,RA=3; control=3; total=6,high,90,human; RA samples clear; controls clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovial fibroblast,yes,no,yes,yes,2025/01/06,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE284763,2026-06-12,auto-collected from GEO metadata
