accession,title,organism,technology,geo_study_type,gpl_accessions,sample_count,sample_count_confidence,score,score_reason,pss_relevance,tissue,case_control_hint,treatment_hint,clinical_info_hint,source_journals,source_journal_impact_factor,source_journal_impact_factor_year,gse_reuse_total_count,publication_date,last_update_date,url,search_date,notes
GSE40611,Gene expression data of parotid tissue from Primary Sjogren’s Syndrome and controls,Homo sapiens,expression array,Expression profiling by array,GPL570,pss=17; control=0; other/unclear=32; total=49,medium,75,human; pss samples clear; pss/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched primary Sjogren Syndrome,salivary gland,yes,no,yes,Arthritis research & therapy,5.4,2025,56,2012/09/06,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40611,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE84844,Multi-omics profiling of patients with primary Sjogren's syndrome,Homo sapiens,expression array,Expression profiling by array,GPL570,pss=60; control=0; total=60,medium,75,human; pss samples clear; pss/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched primary Sjogren's Syndrome,blood; T cell,yes,yes,yes,Annals of the rheumatic diseases,24.0,2025,52,2017/05/19,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE84844,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE159574,Transcriptome sequencing reveals potential roles of ICOS in primary Sjögren’s syndrome,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL20301,pss=29; control=0; total=29,medium,70,human; pss samples clear; pss/control counts shown; total samples >=20; tissue/source clear,matched pSS in disease context,salivary gland; blood,yes,no,no,Frontiers in cell and developmental biology,5.3,2025,6,2020/12/22,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159574,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE93683,CD8 T-cells from pSS patients and human healthy volunteers,Homo sapiens,expression array,Expression profiling by array,GPL570,pss=24; control=0; other/unclear=24; total=48,medium,70,human; pss samples clear; pss/control counts shown; total samples >=20; tissue/source clear,matched pSS in disease context,blood; T cell,yes,yes,no,Annals of the rheumatic diseases,24.0,2025,4,2017/05/19,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE93683,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE94510,CD4 T-cells from pSS patients and human healthy volunteers,Homo sapiens,expression array,Expression profiling by array,GPL570,pss=18; control=0; other/unclear=18; total=36,medium,70,human; pss samples clear; pss/control counts shown; total samples >=20; tissue/source clear,matched pSS in disease context,blood; T cell,yes,yes,no,Annals of the rheumatic diseases,24.0,2025,3,2017/05/19,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE94510,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE127952,Gene expression in minor salivary gland of female patients with primary Sjögren’s syndrome (pSS) and healthy volunteers,Homo sapiens,expression array,Expression profiling by array,GPL20995,pss=8; control=0; other/unclear=6; total=14,medium,65,human; pss samples clear; pss/control counts shown; clinical metadata mentioned; tissue/source clear,matched pSS in disease context,salivary gland,yes,yes,yes,,,,15,2019/03/07,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE127952,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE164885,Differential lncRNA expression profile and function analysis in primary Sjogren’s syndrome,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,pss=8; control=0; total=8,medium,60,human; pss samples clear; pss/control counts shown; tissue/source clear,matched pSS in disease context,blood; PBMC; B cell,yes,yes,no,BMC immunology,2.9,2025,3,2021/07/28,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE164885,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE145065,LncRNA and mRNA expression profile of peripheral blood mononuclear cells in primary Sjögren’s syndrome patients,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,pss=0; control=5; other/unclear=5; total=10,low,40,human; controls clear; pss/control counts shown; clinical metadata mentioned; tissue/source clear; no pss samples parsed,matched primary Sjogren's Syndrome,blood; PBMC,yes,no,yes,Scientific reports,4.9,2025,3,2020/02/11,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145065,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE83558,Purified CD123+BDCA4+ plasmacytoid dendritic sorted cell-population derived from IFN signature positive primary Sjögren’s syndrome patients and IFN signature negative primary Sjögren’s syndrome patients compared to Healthy Control individuals,Homo sapiens,expression array,Expression profiling by array,GPL570,pss=0; control=2; other/unclear=5; total=7,low,40,human; controls clear; pss/control counts shown; clinical metadata mentioned; tissue/source clear; no pss samples parsed,matched pSS in disease context,blood; PBMC,yes,yes,yes,Annals of the rheumatic diseases,24.0,2025,0,2016/09/28,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83558,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE140161,Systems biology demonstrates the predominant role of circulating interferon-alpha in primary Sjögren's syndrome and a genetic association with the class II HLA DQ locus,Homo sapiens,expression array,Expression profiling by array,GPL23159,pss=0; control=0; other/unclear=100; total=100,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; pss/control groups unclear; no pss samples parsed,matched pSS in disease context,blood; T cell,yes,yes,yes,"Rheumatology (Oxford, England)",4.4,2024-2025,4,2020/11/04,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE140161,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE194263,Antiviral State of CD1c+ cDC associates with increased Natural Killer maturation and activation in Sjögren´s Syndrome,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,pss=0; control=0; other/unclear=12; total=12,low,0,human; clinical metadata mentioned; tissue/source clear; pss/control groups unclear; no pss samples parsed,matched primary Sjogren's Syndrome,salivary gland; blood; B cell,yes,yes,yes,The EMBO journal,,,0,2023/09/20,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE194263,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE202712,Meg-01 cell line expression data after propionate stimulation,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,pss=0; control=0; other/unclear=6; total=6,low,0,human; tissue/source clear; pss/control groups unclear; no pss samples parsed; mixed disease cohort unclear,matched pSS in disease context,T cell,yes,yes,no,Frontiers in immunology,7.0,2025,0,2022/05/14,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE202712,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE80225,Aquaporin gene therapy corrects Sjogren's syndrome phenotype in mice,Homo sapiens,expression array,Expression profiling by array,GPL20995,pss=0; control=0; other/unclear=12; total=12,low,0,human; tissue/source clear; pss/control groups unclear; no pss samples parsed,matched primary Sjogren's Syndrome,salivary gland; lacrimal gland,yes,yes,no,Proceedings of the National Academy of Sciences of the United States of America,9.5,2025,0,2016/07/20,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE80225,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE80805,Microarray analysis of minor salivary glands from patients with primary Sjögren’s syndrome (SS) or non-SS,Homo sapiens,expression array,Expression profiling by array,GPL13667,pss=0; control=0; other/unclear=4; total=4,low,0,human; clinical metadata mentioned; tissue/source clear; pss/control groups unclear; no pss samples parsed,matched pSS in disease context,salivary gland; T cell,no,yes,yes,,,,4,2016/08/31,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE80805,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE81621,Gene expression analysis of T cell subsets infiltrating lacrimal glands from the NOD mouse model of Sjögren's,Mus musculus,expression array,Expression profiling by array,GPL11180,pss=0; control=0; other/unclear=11; total=11,low,0,human; tissue/source clear; pss/control groups unclear; no pss samples parsed; mixed disease cohort unclear,matched pSS in disease context,salivary gland; lacrimal gland; T cell,no,yes,no,"Journal of immunology (Baltimore, Md. : 1950)",3.4,2024,1,2016/09/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81621,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
GSE83113,"Gene expression analysis of total B, CD4+ T and epithelial cells in lacrimal glands from the NOD mouse model of Sjogren's syndrome",Mus musculus,expression array,Expression profiling by array,GPL11180,pss=0; control=0; other/unclear=17; total=17,low,0,human; tissue/source clear; pss/control groups unclear; no pss samples parsed,matched primary Sjogren's Syndrome,salivary gland; lacrimal gland; epithelial cell; B cell; T cell,yes,yes,no,"Journal of immunology (Baltimore, Md. : 1950)",3.4,2024,0,2016/09/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83113,2026-06-25,auto-collected from GEO metadata; manual review needed for sample groups
