accession,title,organism,technology,geo_study_type,gpl_accessions,sample_count,sample_count_confidence,score,score_reason,ra_relevance,tissue,case_control_hint,treatment_hint,clinical_info_hint,source_journals,source_journal_impact_factor,source_journal_impact_factor_year,gse_reuse_total_count,publication_date,last_update_date,url,search_date,manual_review,notes
GSE121894,Gene expression profile of endothelial cells derived from circulating progenitors issued from patients with rheumatoid arthritis,Homo sapiens,expression array,Expression profiling by array,GPL25734,RA=36; control=22; total=58,high,85,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; tissue/source clear,matched rheumatoid arthritis,synovium; blood,yes,yes,no,,,,5,2020/04/15,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE121894,2026-06-12,NULL,auto-collected from GEO metadata
GSE141529,Peripheral Blood Gene Expression Signatures in Patients with Rheumatoid Arthritis,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,RA=32; control=8; total=40,high,85,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; tissue/source clear,matched rheumatoid arthritis,blood,yes,yes,no,,,,1,2022/12/04,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE141529,2026-06-12,NULL,auto-collected from GEO metadata
GSE157047,Interplay of NLRC4/NLRP3 inflammasomes and Fc-ˠ-Receptors on CD1c+ DC Associates with Pathogenic IFNˠ+IL17+ T cells and RA Severity,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791; GPL20301,RA=21; control=12; other/unclear=9; total=42,high,85,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; tissue/source clear,matched rheumatoid arthritis,blood; monocyte; T cell,yes,no,no,JCI insight; The EMBO journal,6.8,2025,1,2022/12/21,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE157047,2026-06-12,NULL,auto-collected from GEO metadata
GSE216678,Reduced CD8 T cell exhaustion in DR4 risk subjects is selectively augmented with therapy [whole blood],Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,RA=97; control=114; total=211,high,85,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; tissue/source clear,matched rheumatoid arthritis,blood; T cell,yes,yes,no,,,,0,2023/06/30,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE216678,2026-06-12,NULL,auto-collected from GEO metadata
GSE274598,RNAseq analysis of human neutrophils from people with rheumatoid arthritis,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL11154,RA=35; control=6; total=41,high,85,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; tissue/source clear,matched rheumatoid arthritis,blood,yes,yes,no,Clinical and experimental immunology; Journal of leukocyte biology,3.9,2025,0,2025/05/14,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274598,2026-06-12,NULL,auto-collected from GEO metadata
GSE274996,RNAseq analysis of human neutrophils from people with DMARD-refractory rheumatoid arthritis,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL28038,RA=43; control=5; total=48,high,85,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; tissue/source clear,matched rheumatoid arthritis,blood,yes,yes,no,Clinical and experimental immunology; Journal of leukocyte biology,3.9,2025,2,2025/05/14,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274996,2026-06-12,NULL,auto-collected from GEO metadata
GSE283881,Differential response of tissue engineered skeletal muscle from rheumatoid arthritis patients and healthy controls,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=12; control=12; total=24,high,85,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; clinical metadata mentioned,matched rheumatoid arthritis,,yes,yes,yes,Communications biology,5.8,2025,0,2025/03/19,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283881,2026-06-12,NULL,auto-collected from GEO metadata
GSE292338,"RNAseq analysis of human neutrophils from healthy controls, people with frailty and people with rheumatoid arthritis",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL28038,RA=10; control=19; other/unclear=10; total=39,high,85,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; tissue/source clear,matched rheumatoid arthritis,blood,yes,yes,no,Clinical and experimental immunology,3.9,2025,0,2026/03/09,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292338,2026-06-12,NULL,auto-collected from GEO metadata
GSE56649,Expression data from active rheumatoid arthritis patients and healthy control.,Homo sapiens,expression array,Expression profiling by array,GPL570,RA=13; control=9; total=22,high,85,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; tissue/source clear,matched rheumatoid arthritis,blood; PBMC; T cell,yes,no,no,Arthritis research & therapy,5.4,2025,21,2017/02/13,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56649,2026-06-12,NULL,auto-collected from GEO metadata
GSE71370,Profiling of CD14+ monocytes from paired rheumatoid arthritis (RA)-patient peripheral blood and synovial fluid samples,Homo sapiens,expression array,Expression profiling by array,GPL16268,RA=18; control=8; total=26,high,85,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; tissue/source clear,matched rheumatoid arthritis,blood; monocyte,yes,no,no,Journal of autoimmunity,6.8,2025,5,2017/01/30,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71370,2026-06-12,NULL,auto-collected from GEO metadata
GSE77298,Synovial biopsies of rheumatoid arthritis and healthy controls,Homo sapiens,expression array,Expression profiling by array,GPL570,RA=16; control=7; total=23,high,85,human; RA samples clear; controls clear; RA/control counts shown; total samples >=20; tissue/source clear,matched rheumatoid arthritis,synovium,yes,yes,no,Human gene therapy,4.6,2025,161,2016/01/27,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE77298,2026-06-12,NULL,auto-collected from GEO metadata
GSE100191,Transcriptional Signature Associated with Early Rheumatoid Arthritis and Healthy Individuals at high risk to develop the disease.,Homo sapiens,expression array,Expression profiling by array,GPL13497,RA=7; control=5; other/unclear=7; total=19,high,80,human; RA samples clear; controls clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood,yes,yes,yes,PloS one,2.8,2025,5,2017/06/20,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE100191,2026-06-12,NULL,auto-collected from GEO metadata
GSE101193,Identify the expression of lncRNAs in peripheral blood mononuclear cells from rheumatoid arthritis,Homo sapiens,expression array,Expression profiling by array,GPL21827,RA=3; control=3; total=6,high,80,human; RA samples clear; controls clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; PBMC,yes,no,yes,PloS one,2.8,2025,5,2017/07/12,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE101193,2026-06-12,NULL,auto-collected from GEO metadata
GSE128813,The transcriptome analysis of regulatory networks in RA-FLSs,Homo sapiens,expression array,Expression profiling by array,GPL21827,RA=3; control=3; total=6,high,80,human; RA samples clear; controls clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovial fibroblast,yes,yes,yes,EBioMedicine,11.2,2025,6,2020/01/08,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE128813,2026-06-12,NULL,auto-collected from GEO metadata
GSE141836,The pathogenic role of stem cell-like memory T cells in rheumatoid arthritis,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,RA=6; control=2; total=8,high,80,human; RA samples clear; controls clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,PBMC; T cell,yes,no,yes,"Journal of immunology (Baltimore, Md. : 1950)",3.4,2024,0,2021/12/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE141836,2026-06-12,NULL,auto-collected from GEO metadata
GSE196743,Next Generation Sequencing Analysis of Healthy donors and rhumatoid arthritis patients with or without anti-TNF-treatment,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL18573,RA=9; control=4; total=13,high,80,human; RA samples clear; controls clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; PBMC; macrophage; monocyte,yes,yes,yes,Frontiers in immunology,7.0,2025,0,2022/02/16,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE196743,2026-06-12,NULL,auto-collected from GEO metadata
GSE284403,Lactylated histone promotes rheumatoid arthritis progression by increasing NFATc2 expression and the production of anti-lactylated histone autoantibodies,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL34284,RA=3; control=3; total=6,high,80,human; RA samples clear; controls clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovial fibroblast,yes,yes,yes,Nature communications,18.1,2025,0,2024/12/27,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE284403,2026-06-12,NULL,auto-collected from GEO metadata
GSE284763,Lactylated histone promotes rheumatoid arthritis progression by increasing NFATc2 expression and the production of anti-lactylated histone autoantibodies [CUT&Tag],Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=3; control=3; total=6,high,80,human; RA samples clear; controls clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovial fibroblast,yes,no,yes,Nature communications,18.1,2025,0,2025/01/06,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE284763,2026-06-12,NULL,auto-collected from GEO metadata
GSE300310,Human Endogenous Retroviruses Drive Type-I Interferon Signaling activation in Early Rheumatoid Arthritis,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=6; control=6; other/unclear=6; total=18,high,80,human; RA samples clear; controls clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched Rheumatoid Arthritis,synovium; blood; PBMC,yes,yes,yes,,,,0,2026/06/05,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300310,2026-07-11,NULL,auto-collected from GEO metadata
GSE324400,Expression profile characteristics and clinical significance of plasma extracellular RNA(exRNA) in patients with rheumatoid arthritis,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL34633,RA=6; control=6; total=12,high,80,human; RA samples clear; controls clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood,yes,yes,yes,,,,0,2026/04/14,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE324400,2026-06-12,NULL,auto-collected from GEO metadata
GSE83147,RNA expression profiles in fibroblast-like synoviocytes from rheumatoid arthritis patients and trauma patients,Homo sapiens,expression array,Expression profiling by array,GPL16956,RA=3; control=3; total=6,high,80,human; RA samples clear; controls clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast,yes,no,yes,,,,2,2016/06/10,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83147,2026-06-12,NULL,auto-collected from GEO metadata
GSE97779,Expression data from rheumatoid arthritis synovial macrophages,Homo sapiens,expression array,Expression profiling by array,GPL570,RA=9; control=5; total=14,high,80,human; RA samples clear; controls clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; macrophage; monocyte,yes,no,yes,Immunity,30.6,2025,33,2017/08/10,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE97779,2026-06-12,NULL,auto-collected from GEO metadata
GSE100786,Expression data of bone marrow and blood monocytes from patients with rheumatoid arthritis (RA) and osteoarthritis (OA),Homo sapiens,expression array,Expression profiling by array,GPL570,RA=14; control=0; other/unclear=14; total=28,medium,75,human; RA samples clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; monocyte,yes,yes,yes,,,,4,2017/07/05,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE100786,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE153015,Comparison of gene expression profiles in paired synovial biopsies from rheumatoid arthritis (RA) patients,Homo sapiens,expression array,Expression profiling by array,GPL570,RA=24; control=0; total=24,medium,75,human; RA samples clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; T cell,yes,yes,yes,Frontiers in immunology,7.0,2025,11,2020/11/11,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE153015,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE172188,Rheumatoid arthritis synovium response to abatacept,Homo sapiens,expression array,Expression profiling by array,GPL570,RA=20; control=0; total=20,medium,75,human; RA samples clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium,no,yes,yes,Frontiers in immunology,7.0,2025,3,2021/08/23,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE172188,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE176440,Gene expression profiles of CD4+ T cells before and after methotrexate treatment in rheumatoid arthritis patients [Microarray],Homo sapiens,expression array,Expression profiling by array,GPL6480,RA=56; control=0; total=56,medium,75,human; RA samples clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; PBMC; T cell,no,yes,yes,Arthritis research & therapy,5.4,2025,2,2022/05/20,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE176440,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE181313,Transcriptional effects of LXR on the differentiation of monocyte-derived macrophages by tumor ascitic fluids or rheumatoid arthritis synovial fluids,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL23227,RA=20; control=0; total=20,medium,75,human; RA samples clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; PBMC; macrophage; monocyte,no,yes,yes,Frontiers in immunology; Cellular and molecular life sciences : CMLS,7.0,2025,0,2022/03/16,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE181313,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE181614,RNA Sequencing facilitates quantitative analysis of lncRNA and mRNA expression in fibroblast-like synoviocytes from rheumatoid arthritis patients and trauma patients [microarray],Homo sapiens,expression array,Expression profiling by array,GPL16956,RA=5; control=5; total=10,high,75,human; RA samples clear; controls clear; RA/control counts shown; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast; T cell,yes,no,no,,,,9,2021/08/10,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE181614,2026-06-12,NULL,auto-collected from GEO metadata
GSE198520,Synovial inflammatory pathways characterize anti-TNF-responsive rheumatoid arthritis patients,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL21290,RA=92; control=0; total=92,medium,75,human; RA samples clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; T cell,no,yes,yes,"Arthritis & rheumatology (Hoboken, N.J.)",10.9,2024,6,2022/06/06,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198520,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE200291,"Effect of anti-TNF/IL-6 NANOBODY® VHH, Humira, Sylvant, TNF, IL6 and TNF+IL6 in RA-FLS/T cell cocultures",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=98; control=0; total=98,medium,75,human; RA samples clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovial fibroblast; blood; PBMC; T cell,yes,yes,yes,,,,0,2022/12/31,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE200291,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE205962,Expression data from whole blood sample of eight kinds of TCM syndromes of rheumatoid arthritis patients.,Homo sapiens,expression array,Expression profiling by array,GPL16043,RA=20; control=0; total=20,medium,75,human; RA samples clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood,yes,yes,yes,Chinese medicine,7.4,2025,9,2023/01/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205962,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE224330,Gene expression of monocytes from rheumatoid arthritis patients treated with bDMARDs and methotrexate.,Homo sapiens,expression array,Expression profiling by array,GPL21185,RA=31; control=0; total=31,medium,75,human; RA samples clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,monocyte,yes,yes,yes,PloS one,2.8,2025,0,2023/03/09,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224330,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE224842,Gene expression profiles of peripheral blood mononuclear cells before abatacept treatment in rheumatoid arthritis patients.,Homo sapiens,expression array,Expression profiling by array,GPL6480,RA=30; control=0; total=30,medium,75,human; RA samples clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; PBMC; T cell,no,yes,yes,,,,0,2023/04/10,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224842,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE225731,Disease activity drives transcriptomic heterogeneity in early untreated rheumatoid synovitis,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=74; control=0; total=74,medium,75,human; RA samples clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium,yes,yes,yes,Annals of the rheumatic diseases,24.0,2025,2,2023/05/31,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225731,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE236122,The histone acetyl transferases CBP and p300 regulate stress response pathways in synovial fibroblasts,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=36; control=0; total=36,medium,75,human; RA samples clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast,yes,yes,yes,Scientific reports; Journal of autoimmunity,6.8,2025,0,2023/07/04,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE236122,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE273760,Homeostatic signals induce the development of peripheral helper T cells promoted in the pathogenesis of rheumatoid arthritis,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=3; control=9; total=12,high,75,human; RA samples clear; controls clear; RA/control counts shown; tissue/source clear,matched rheumatoid arthritis,blood; PBMC; T cell; B cell,yes,no,no,Journal of translational autoimmunity,3.8,2025,0,2024/11/20,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273760,2026-06-12,NULL,auto-collected from GEO metadata
GSE279719,Human CD14+ monocytes from early inflammatory arthritis patients before and after a 5day-and 30day-period of methotrexate treatment,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL23227,RA=72; control=0; total=72,medium,75,human; RA samples clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; PBMC; monocyte,no,yes,yes,Cellular and molecular life sciences : CMLS,6.2,2024-2025,0,2026/04/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE279719,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE311923,Role of m⁶A-Modified GAS6 in Rheumatoid Arthritis: Insights from Multi-Omics Analysis,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=3; control=3; total=6,high,75,human; RA samples clear; controls clear; RA/control counts shown; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast; blood; PBMC,yes,no,no,,,,0,2026/01/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE311923,2026-06-12,NULL,auto-collected from GEO metadata
GSE42842,The predictive biomarkers of TNFα-blocking agent responsiveness are specific for adalimumab and etanercept,Homo sapiens,expression array,Expression profiling by array,GPL4133,RA=31; control=0; total=31,medium,75,human; RA samples clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; PBMC,yes,yes,yes,,,,0,2024/03/22,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42842,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE68215,Gene expression profiling in Abatacept treated Rheumatoid Arthritis patients according to response,Homo sapiens,expression array,Expression profiling by array,GPL4133,RA=36; control=0; total=36,medium,75,human; RA samples clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood,yes,yes,yes,Arthritis research & therapy; PloS one,5.4,2025,3,2017/05/17,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68215,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE78068,Identification of baseline gene expression signatures predicting therapeutic responses to three biologic agents in rheumatoid arthritis: a retrospective observational study,Homo sapiens,expression array,Expression profiling by array,GPL6480,RA=209; control=0; total=209,medium,75,human; RA samples clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; B cell,no,yes,yes,Arthritis research & therapy,5.4,2025,5,2016/07/21,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78068,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
